Title,Date
"Lucifer: Temporada 1: Quieto, Lucifer. Buen diablo.","28/05/21"
"Lucifer: Temporada 1: El presunto Príncipe de las Tinieblas","28/05/21"
"Las chicas Gilmore: Temporada 3: La demanda","27/05/21"
"Sinbad: La leyenda de los siete mares","24/05/21"
"Las chicas Gilmore: Temporada 3: Abuela querida","24/05/21"
"El camino hacia El Dorado","24/05/21"
"Las chicas Gilmore: Temporada 3: Día de abundancia","24/05/21"
"Hacker: Amenaza en la red","21/05/21"
"Love, Death & Robots: Volumen 2: El gigante ahogado","21/05/21"
"Love, Death & Robots: Volumen 2: Respuesta evolutiva","21/05/21"
"Love, Death & Robots: Volumen 2: Hielo","21/05/21"
"Love, Death & Robots: Volumen 2: Servicio al cliente automatizado","21/05/21"
"Las chicas Gilmore: Temporada 3: Que comiencen los juegos","17/05/21"
"El Grinch","14/05/21"
"El inocente: Miniserie: Episodio 1","14/05/21"
"Las chicas Gilmore: Temporada 3: Las Gilmore bajo fuego","14/05/21"
"Las chicas Gilmore: Temporada 3: Huevos picantes","14/05/21"
"Las chicas Gilmore: Temporada 3: A las ocho en el oasis","14/05/21"
"Las chicas Gilmore: Temporada 3: Clase y tintura","14/05/21"
"Las chicas Gilmore: Temporada 3: Ansiedades","14/05/21"
"Las chicas Gilmore: Temporada 3: Malentendido","14/05/21"
"Las chicas Gilmore: Temporada 3: Empezando de nuevo","13/05/21"
"Las chicas Gilmore: Temporada 2: El beso","13/05/21"
"Las chicas Gilmore: Temporada 2: Lorelai se recibe","13/05/21"
"Las chicas Gilmore: Temporada 2: Se necesita ayuda","13/05/21"
"Las chicas Gilmore: Temporada 2: Clase particular","13/05/21"
"(Des)encanto: Parte 1: Pompa y repugnancia","09/05/21"
"Kung Fu Panda 2","09/05/21"
"Las chicas Gilmore: Temporada 2: Tomando las riendas","07/05/21"
"Las chicas Gilmore: Temporada 2: Sobre tíos y vegetales","07/05/21"
"Las chicas Gilmore: Temporada 2: Ahí está el problema","07/05/21"
"Las chicas Gilmore: Temporada 2: Perdido y encontrado","06/05/21"
"Las chicas Gilmore: Temporada 2: Debería haber sido Lorelai","05/05/21"
"Las chicas Gilmore: Temporada 2: La canasta de picnic","05/05/21"
"Las chicas Gilmore: Temporada 2: Richard en Stars Hollow","04/05/21"
"Las chicas Gilmore: Temporada 2: Secretos y préstamos","04/05/21"
"Las chicas Gilmore: Temporada 2: La cena","04/05/21"
"Las chicas Gilmore: Temporada 2: Romeo en fuga","02/05/21"
"Sombra y hueso: Temporada 1: Un destello de luz cegadora","02/05/21"
"Las chicas Gilmore: Temporada 2: Altibajos","01/05/21"
"Las chicas Gilmore: Temporada 2: De tal palo, tal astilla","01/05/21"
"Las chicas Gilmore: Temporada 2: Presentando a Lorelai Gilmore","30/04/21"
"Las chicas Gilmore: Temporada 2: Nick y Nora/Sid y Nancy","30/04/21"
"Las chicas Gilmore: Temporada 2: Viaje a Harvard","29/04/21"
"Las chicas Gilmore: Temporada 2: ¡Alto a la boda!","29/04/21"
"Las chicas Gilmore: Temporada 2: Martillos y velos","29/04/21"
"Las chicas Gilmore: Temporada 2: Compromiso","29/04/21"
"Las chicas Gilmore: Temporada 1: Margaritas y trovadores","28/04/21"
"Las chicas Gilmore: Temporada 1: P.D.: Te quie...","28/04/21"
"Las chicas Gilmore: Temporada 1: Emily en el país de las maravillas","28/04/21"
"Las chicas Gilmore: Temporada 1: La ruptura, segunda parte","28/04/21"
"Las chicas Gilmore: Temporada 1: Encuentros y desencuentros","28/04/21"
"Las chicas Gilmore: Temporada 1: La tercera Lorelai","27/04/21"
"Las chicas Gilmore: Temporada 1: El regreso de Christopher","27/04/21"
"Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry","25/04/21"
"Amor y monstruos","24/04/21"
"Las chicas Gilmore: Temporada 1: En la vida real","21/04/21"
"Las chicas Gilmore: Temporada 1: Concierto interrumpido","21/04/21"
"Nailed It!: Problema doble: Como la abuela","16/04/21"
"BoJack Horseman: Temporada 1: BoJack enemigo público","15/04/21"
"Las chicas Gilmore: Temporada 1: Cita doble","10/04/21"
"Maniac: Miniserie: El elegido","09/04/21"
"Mitomanía: Temporada 1: Episodio 1","09/04/21"
"Las chicas Gilmore: Temporada 1: Divorcio y besos","09/04/21"
"Las chicas Gilmore: Temporada 1: Saber perdonar","09/04/21"
"Las chicas Gilmore: Temporada 1: El baile de Rory","09/04/21"
"Las chicas Gilmore: Temporada 1: Amor y nieve","09/04/21"
"The End of the F***ing World: Temporada 1: Episodio 1","07/04/21"
"Haunted: Latinoamérica: Temporada 1: La casa maligna","07/04/21"
"Las chicas Gilmore: Temporada 1: El primer beso","06/04/21"
"Las chicas Gilmore: Temporada 1: El cumpleaños de Rory","06/04/21"
"Bleach: The Substitute: Episodio 15","06/04/21"
"Bleach: The Substitute: Episodio 14","06/04/21"
"Bleach: The Substitute: Episodio 13","06/04/21"
"Bleach: The Substitute: Episodio 12","06/04/21"
"Bleach: The Bount: Episodio 67","06/04/21"
"Shrek tercero","06/04/21"
"Shrek 2","05/04/21"
"Bleach: The Substitute: Episodio 11","05/04/21"
"Bleach: The Substitute: Episodio 10","05/04/21"
"Bleach: The Substitute: Episodio 9","05/04/21"
"Bleach: The Substitute: Episodio 8","05/04/21"
"Bleach: The Substitute: Episodio 7","05/04/21"
"Bleach: The Substitute: Episodio 6","05/04/21"
"Bleach: The Substitute: Episodio 5","04/04/21"
"Bleach: The Substitute: Episodio 4","04/04/21"
"Nailed It!: Problema doble: Donas y viajes","02/04/21"
"Bleach: The Substitute: Episodio 3","02/04/21"
"Bleach: The Substitute: Episodio 2","02/04/21"
"Bleach: The Substitute: Episodio 1","02/04/21"
"Crepúsculo, la saga: Amanecer (Parte 2)","31/03/21"
"La leyenda de Korra: Libro cuatro: Equilibrio: Korra sola","30/03/21"
"La princesa Mononoke","30/03/21"
"Crepúsculo, la saga: Amanecer (Parte 1)","29/03/21"
"Crepúsculo, la saga: Eclipse","29/03/21"
"Patrulla de cachorros: Temporada 4: Los cachorros salvan el dirigible / Los cachorros salvan el concurso de ají","29/03/21"
"Crepúsculo, la saga: Luna nueva","28/03/21"
"Las chicas Gilmore: Temporada 1: El funeral de Canela","27/03/21"
"Las chicas Gilmore: Temporada 1: Cacería de venados","26/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Miracle Queen: La batalla de los Miraculous (Parte 2)","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Cazacorazones: La batalla de los Miraculous (Parte 1)","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Ladybug","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Félix","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Tren Estrella","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Desperada","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Ikari Gozen","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Muñekta","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Festín","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Cazadora de kwamis","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Tormentosa (Parte 2)","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: La Titiritera (Parte 2)","24/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Amo Navideño","23/03/21"
"BoJack Horseman: Temporada 1: BoJack Horseman: Temporada 1: La historia de BoJack, capítulo 1","23/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Miraculer","23/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Oni-Chan","23/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Silenciador","22/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Papá Lobo","22/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Jugador 2.0","22/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Reversora","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Panadero","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Animaestro","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Camaleón","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Mayura: Día de los Héroes (Parte 2)","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Catalizadora: Día de los Héroes (Parte 1)","21/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Dormilón","21/03/21"
"Formula 1: Drive to Survive: Temporada 3: Hasta el último momento","21/03/21"
"Formula 1: Drive to Survive: Temporada 3: Hombre en llamas","21/03/21"
"Formula 1: Drive to Survive: Temporada 3: Sin remordimientos","21/03/21"
"Formula 1: Drive to Survive: Temporada 3: La decisión de Guenther","21/03/21"
"Formula 1: Drive to Survive: Temporada 3: El chico resurge","20/03/21"
"Formula 1: Drive to Survive: Temporada 3: El final de la aventura","20/03/21"
"Formula 1: Drive to Survive: Temporada 3: Debemos hablar de Ferrari","20/03/21"
"Formula 1: Drive to Survive: Temporada 3: No soy tonto","20/03/21"
"Formula 1: Drive to Survive: Temporada 3: Nuevamente en marcha","20/03/21"
"Formula 1: Drive to Survive: Temporada 2: Al límite","20/03/21"
"Formula 1: Drive to Survive: Temporada 3: El dinero manda","19/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Inverso","19/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Maledictador","19/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Anansi","19/03/21"
"Formula 1: Drive to Survive: Temporada 1: Redención","19/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Reina Avispa: La batalla de la reina (Parte 2)","19/03/21"
"Miraculous: Las aventuras de Ladybug: Temporada 2: Parte 2: Problemática","19/03/21"
